Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,QualArea,TotalBath,TotalPorchSF,HouseAge,RemodAge,IsRemodeled
175,3.044522437723423,RL,3.871201010907891,9.426821780416843,Pave,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1986,1986,Gable,CompShg,VinylSd,Plywood,4.890349128221754,TA,TA,CBlock,Gd,Fa,No,ALQ,7.243512974665482,LwQ,0.0,GasA,TA,Y,SBrkr,7.409741954080923,0.0,3,0.6931471805599453,TA,Min2,1,TA,Attchd,Fin,2,TA,TA,Y,5.262690188904886,0.0,0.0,11,2008,WD,Normal,184000,9.20099685697303,3.0,0.0,22,22,0
515,3.828641396489095,RL,4.02535169073515,9.2681374707024,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Unf,5,5,1926,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,6.645090969505644,Grav,Fa,N,SBrkr,6.672032945461067,0.0,2,0.6931471805599453,TA,Typ,0,NA,Detchd,Unf,1,Po,Po,Y,0.0,0.0,0.0,6,2007,WD,Normal,96500,8.28045768658256,1.0,4.727387818712341,81,57,1
1351,4.51085950651685,RL,4.5217885770490405,9.362546304865514,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,Duplex,2Story,5,5,1969,1969,Gable,CompShg,MetalSd,MetalSd,5.910796644040527,TA,TA,CBlock,TA,TA,No,LwQ,6.2166061010848646,Unf,6.618738983517219,GasA,TA,Y,SBrkr,7.199678345691172,7.167809184316444,6,1.0986122886681098,TA,Typ,0,NA,Detchd,Unf,4,TA,TA,Y,0.0,0.0,0.0,8,2009,WD,Normal,200000,9.485772721999046,4.5,0.0,40,40,0
1146,3.9318256327243257,RM,3.970291913552122,8.738895704934043,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6,1928,1950,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,6.949856455000773,GasA,Ex,Y,SBrkr,6.949856455000773,6.282266746896006,3,0.6931471805599453,TA,Typ,1,Gd,Detchd,Unf,1,TA,TA,Y,0.0,0.0,0.0,8,2006,WD,Family,149000,8.97221007835365,1.0,0.0,78,56,1
966,4.110873864173311,RL,4.189654742026425,9.233861567017529,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,6.664409020350408,GasA,Ex,Y,SBrkr,6.664409020350408,6.553933404025811,3,0.6931471805599453,Gd,Typ,1,Gd,Attchd,Fin,2,TA,TA,Y,0.0,0.0,0.0,7,2007,New,Partial,178900,9.094368195723762,2.5,4.290459441148391,2,0,1
937,3.044522437723423,RL,4.219507705176107,9.218705288307811,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,6.726233402358747,Unf,5.840641657373398,GasA,Ex,Y,SBrkr,7.0909098220799835,0.0,2,0.6931471805599453,Gd,Typ,0,NA,Attchd,RFn,2,TA,TA,Y,0.0,0.0,0.0,8,2009,WD,Normal,184900,9.036106025364846,3.0,3.7376696182833684,6,6,0
286,5.081404364984463,FV,3.58351893845611,8.355144739461839,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2006,2007,Gable,CompShg,MetalSd,MetalSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,6.439350371100098,GasA,Ex,Y,SBrkr,6.439350371100098,6.439350371100098,2,0.6931471805599453,Gd,Typ,0,NA,Detchd,RFn,2,TA,TA,Y,0.0,0.0,0.0,6,2007,New,Partial,164700,9.076923258535832,2.5,4.007333185232471,1,0,1
1311,3.044522437723423,RL,4.61512051684126,9.770013301136158,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,PosA,Norm,1Fam,1Story,7,8,1959,2002,Gable,CompShg,BrkFace,HdBoard,0.0,Gd,Gd,PConc,Gd,TA,Av,GLQ,7.249215057114389,Unf,6.208590026096629,GasA,TA,Y,SBrkr,7.551186867296149,0.0,3,0.6931471805599453,Ex,Typ,2,TA,Attchd,Fin,2,TA,TA,Y,0.0,0.0,0.0,5,2010,WD,Normal,335000,9.496646498248033,3.0,5.91350300563827,51,8,1
343,4.51085950651685,RL,4.324132656254979,9.053101595549691,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,3,4,1949,1950,Gable,CompShg,Stucco,Stucco,5.831882477283517,TA,TA,Slab,NA,NA,NA,NA,0.0,NA,0.0,Wall,Fa,N,FuseA,6.947937068614969,0.0,2,1.0986122886681098,TA,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,0.0,0.0,0.0,5,2006,WD,Normal,87500,8.045908742270779,2.0,0.0,57,56,1
1166,3.044522437723423,RL,4.382026634673881,9.163458386076051,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,5.594711379601839,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,7.315218389752975,GasA,Ex,Y,SBrkr,7.315218389752975,0.0,3,0.6931471805599453,Gd,Typ,0,NA,Attchd,RFn,2,TA,TA,Y,0.0,0.0,0.0,9,2009,New,Partial,233170,9.2605580881368,2.0,4.74493212836325,0,0,0
32,3.044522437723423,RL,4.269697449699962,9.053101595549691,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,7.113956109566034,GasA,Gd,Y,SBrkr,7.113956109566034,0.0,3,0.6931471805599453,Gd,Typ,0,NA,Attchd,Unf,1,TA,TA,Y,0.0,0.0,0.0,6,2008,WD,Normal,149350,8.722742874329398,1.5,4.189654742026425,42,2,1
874,3.713572066704308,RL,4.110873864173311,9.404672841436273,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1949,1950,Gable,CompShg,HdBoard,HdBoard,0.0,Gd,TA,CBlock,TA,TA,No,Rec,5.929589143389895,Unf,6.126869184114185,GasA,Gd,Y,SBrkr,6.9440872082295275,0.0,3,0.6931471805599453,TA,Typ,1,Gd,Attchd,Unf,1,TA,TA,Y,0.0,0.0,0.0,9,2009,WD,Normal,133000,8.754791763700032,1.0,3.367295829986474,60,59,1
211,3.4339872044851463,RL,4.219507705176107,8.63141433550626,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1925,1950,Gable,CompShg,Stucco,Stucco,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.150602768446279,Unf,5.983936280687191,GasA,TA,N,FuseA,6.762729506931879,0.0,2,0.6931471805599453,TA,Typ,0,NA,NA,NA,0,NA,NA,Y,0.0,0.0,0.0,4,2008,WD,Normal,98000,8.371242135931933,2.0,4.574710978503383,83,58,1
925,3.044522437723423,RL,4.382026634673881,9.234154550075438,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1980,1980,Gable,CompShg,Plywood,Plywood,5.062595033026967,TA,Gd,CBlock,Gd,TA,No,BLQ,6.439350371100098,LwQ,0.0,GasA,TA,Y,SBrkr,7.430707082545968,0.0,3,0.6931471805599453,TA,Typ,1,TA,Attchd,Unf,2,TA,TA,Y,5.953243334287785,0.0,0.0,5,2006,WD,Normal,207500,9.22197245620589,3.0,4.882801922586371,26,26,0
406,3.044522437723423,RL,4.269697449699962,9.209540051805414,Pave,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,4,1976,1993,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,TA,TA,No,BLQ,7.018401799069201,Unf,5.111987788356544,GasA,Ex,Y,SBrkr,7.390798521735676,0.0,3,0.6931471805599453,TA,Min1,1,TA,Attchd,Unf,2,TA,TA,Y,4.795790545596741,0.0,0.0,6,2009,WD,Normal,150000,8.776630098427717,3.0,4.3694478524670215,33,16,1
771,4.454347296253507,RL,4.269697449699962,8.889170455363413,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,5,5,1982,1982,Hip,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,6.530877627725885,Unf,5.159055299214529,GasA,TA,Y,SBrkr,6.755768921984255,0.0,2,0.6931471805599453,TA,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,4.795790545596741,0.0,0.0,4,2009,WD,Normal,134900,8.364275084991524,2.0,0.0,27,27,0
382,3.044522437723423,FV,4.110873864173311,8.881975184248867,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,Gd,No,Unf,0.0,Unf,7.165493475060845,GasA,Ex,Y,SBrkr,7.171656822768514,0.0,2,0.6931471805599453,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,5.37989735354046,0.0,0.0,8,2006,New,Partial,187750,9.11690842718363,3.0,4.804021044733257,0,0,0
890,3.044522437723423,RL,4.859812404361672,9.405989388981,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,4,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,4.51085950651685,TA,TA,CBlock,TA,TA,No,BLQ,6.932447891572509,Unf,6.1779441140506,GasA,Ex,Y,SBrkr,7.317212408359839,0.0,2,0.6931471805599453,TA,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0.0,0.0,0.0,2,2009,WD,Normal,149500,9.108418382250798,2.0,5.093750200806762,56,56,0
1201,3.044522437723423,RL,4.276666119016055,9.143559338285831,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,6.762729506931879,GasA,Gd,Y,SBrkr,6.762729506931879,0.0,3,0.6931471805599453,TA,Typ,0,NA,Attchd,Unf,1,TA,TA,Y,0.0,0.0,0.0,7,2006,Oth,Abnorml,116050,8.148156439921625,1.0,0.0,36,36,0
189,4.51085950651685,RL,4.174387269895637,8.856376036730422,Pave,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,5.62040086571715,TA,TA,CBlock,Gd,TA,Av,GLQ,6.99117688712121,Unf,0.0,GasA,TA,Y,SBrkr,7.110696122978827,0.0,2,1.0986122886681098,TA,Typ,2,TA,Detchd,Unf,2,TA,TA,Y,4.795790545596741,0.0,0.0,6,2009,WD,Alloca,153337,8.71948076085107,3.0,0.0,30,30,0
894,3.044522437723423,RL,4.269697449699962,9.494390858193913,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,PosN,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,Wd Sdng,Plywood,0.0,TA,TA,PConc,Gd,TA,Mn,BLQ,6.970730078143525,Unf,5.768320995793772,GasA,TA,Y,SBrkr,7.232733136177615,0.0,3,0.6931471805599453,TA,Typ,1,Gd,Attchd,Unf,1,TA,TA,Y,6.238324625039508,0.0,0.0,6,2008,WD,Normal,165000,8.84159284680318,2.0,4.762173934797756,54,54,0
1328,3.044522437723423,RL,4.110873864173311,8.79497643168877,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,9,1982,2008,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,Gd,CBlock,TA,TA,No,ALQ,6.464588303689961,Unf,5.170483995038151,GasA,Ex,Y,SBrkr,6.705639094860003,0.0,3,0.6931471805599453,Gd,Typ,1,Ex,Attchd,Unf,1,TA,TA,Y,0.0,0.0,0.0,10,2008,WD,Normal,130500,8.314097335405807,1.5,0.0,26,0,1
421,4.51085950651685,RM,4.3694478524670215,8.862341963516347,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,5.303304908059076,TA,Gd,PConc,Gd,Gd,Gd,GLQ,7.177782416195197,Unf,3.58351893845611,GasA,Ex,Y,SBrkr,7.20414929203594,0.0,2,1.0986122886681098,TA,Typ,0,NA,Attchd,Fin,4,TA,TA,Y,0.0,0.0,0.0,11,2008,WD,Alloca,206300,9.149421957006766,4.0,0.0,11,10,1
579,5.081404364984463,FV,3.5553480614894135,8.190077049719049,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,6.536691597591305,GasA,Ex,Y,SBrkr,6.556778356158042,6.536691597591305,2,0.6931471805599453,Gd,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,0.0,0.0,0.0,2,2008,WD,Abnorml,146000,9.184509611941662,2.0,4.634728988229636,1,1,0
84,3.044522437723423,RL,4.394449154672439,9.09301972939964,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1960,Gable,CompShg,MetalSd,MetalSd,4.204692619390966,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,6.97166860472579,GasA,Gd,Y,SBrkr,6.97166860472579,0.0,3,0.6931471805599453,TA,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,4.31748811353631,0.0,0.0,7,2007,COD,Normal,126500,8.580355766373877,1.5,0.0,47,47,0
1275,3.9318256327243257,RL,3.9889840465642745,8.587278798982926,Pave,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1910,2003,Gable,CompShg,Wd Sdng,Wd Shng,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,6.495265555937008,GasA,Ex,Y,SBrkr,6.495265555937008,6.380122536899765,3,0.6931471805599453,TA,Typ,1,Gd,Detchd,Unf,2,TA,TA,Y,5.493061443340548,0.0,0.0,11,2007,WD,Normal,139000,8.740496729931813,2.0,4.406719247264253,97,4,1
